GEN_BUS,PG,QG,QMAX,QMIN,VG,MBASE,GEN_STATUS,PMAX,PMIN,PC1,PC2,QC1MIN,QC1MAX,QC2MIN,QC2MAX,RAMP_AGC,RAMP_10,RAMP_30,RAMP_Q,APF,MU_PMAX,MU_PMIN,MU_QMAX,MU_QMIN
845,186.77,26.23,95.08,-20.73,1.009,224.16,1,186.8,36.02,0,0,0,0,0,0,0,0,0,0,186.8,0,0,0,0
850,211.47,28.61,98.56,-25.8,1.0484,253.8,1,211.5,83.04,0,0,0,0,0,0,0,0,0,0,211.5,0,0,0,0
851,211.47,53.96,98.56,-25.8,1.05,253.8,1,211.5,80.7,0,0,0,0,0,0,0,0,0,0,211.5,0,0,0,0
852,211.47,53.58,98.56,-25.8,1.0545,253.8,1,211.5,40.64,0,0,0,0,0,0,0,0,0,0,211.5,0,0,0,0
853,211.47,28.61,98.56,-25.8,1.0484,253.8,1,211.5,104.92,0,0,0,0,0,0,0,0,0,0,211.5,0,0,0,0
856,1.2,-0.06,0.46,-0.06,1.038,1.44,1,1.2,0.48,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0
856,0,0,0.46,-0.06,1.038,1.44,0,1.2,0.35,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0
856,0,0,0.46,-0.06,1.038,1.44,0,1.2,0.18,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0
856,1.2,-0.06,0.46,-0.06,1.038,1.44,1,1.2,0.5,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0
856,1.2,-0.06,0.46,-0.06,1.038,1.44,1,1.2,0.51,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0
856,0,0,0.46,-0.06,1.038,1.44,0,1.2,0.32,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0
859,0,0,1.53,-0.33,1.04,3.6,0,3,1.21,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
863,6.5,-0.32,2.5,-0.32,1.04,7.8,1,6.5,2.08,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0
863,6.5,-0.32,2.5,-0.32,1.04,7.8,1,6.5,3.11,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0
869,6.4,-0.31,2.46,-0.31,1.01,7.68,1,6.4,1.1,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0
